config,task_type,n,avg_latency_ms,avg_rag_query_count,avg_doc_cov,avg_chunk_cov,avg_answer,avg_citation,avg_faith,avg_weighted
c2_stage3_next_30,calculation,2,22073.5,1.0,1.0,1.0,0.75,1.0,1.0,0.875
c2_stage3_next_30,code_execution,2,13895.5,1.0,1.0,0.66665,0.75,1.0,1.0,0.875
c2_stage3_next_30,fuzzy_query,5,29085.8,1.0,0.5900000000000001,0.13334,0.5,0.5,1.0,0.625
c2_stage3_next_30,insufficient_evidence,2,30840.5,1.0,0.41664999999999996,0.0,0.75,0.5,1.0,0.75
c2_stage3_next_30,multi_doc,12,28908.666666666668,1.0,0.709725,0.315275,0.4583333333333333,0.5416666666666666,0.9166666666666666,0.59375
c2_stage3_next_30,simple_qa,4,17321.5,1.0,1.0,0.295825,0.875,0.875,1.0,0.875
c2_stage3_next_30,table_analysis,3,28330.666666666668,1.0,0.2222333333333333,0.08333333333333333,0.0,0.3333333333333333,0.8333333333333334,0.3333333333333333
c3_lite_next_30,calculation,2,26096.0,1.0,1.0,1.0,0.75,1.0,1.0,0.875
c3_lite_next_30,code_execution,2,29997.0,1.0,1.0,0.66665,0.75,1.0,1.0,0.875
c3_lite_next_30,fuzzy_query,5,45745.4,1.6,0.75334,0.32332,0.6,0.5,1.0,0.675
c3_lite_next_30,insufficient_evidence,2,55301.0,2.0,0.83335,0.33335,1.0,0.75,1.0,0.9375
c3_lite_next_30,multi_doc,12,46693.5,2.0833333333333335,0.8402833333333334,0.4418583333333333,0.8333333333333334,0.7916666666666666,0.9583333333333334,0.8541666666666666
c3_lite_next_30,simple_qa,4,33391.75,1.0,0.875,0.308325,0.875,0.75,0.875,0.84375
c3_lite_next_30,table_analysis,3,34331.666666666664,1.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5
